Park,,Rating out of 10,,Name,Scoreable Coaster Quantity
Bellewaerde,,1.20,,Boomerang,6
Bellewaerde,,2.70,,Dawson (Left),6
Bellewaerde,,2.70,,Dawson (Right),6
Bellewaerde,,5.70,,Huracan,6
Bellewaerde,,0.70,,Keverbaan,6
Bellewaerde,,6.50,,Wakala,6
Nigloland,,9.00,,Alpina Blitz,6
Nigloland,,2.70,,Descente en Schlitt,6
Nigloland,,3.60,,Goldmine,6
Nigloland,,6.20,,Krampus,6
Nigloland,,3.30,,Noisette,6
Nigloland,,4.20,,Spatiale,6
Skyline Park,,4.30,,Nostalgiche Achterbahn,5
Skyline Park,,4.30,,Sky Dragster,5
Skyline Park,,2.20,,Sky Rider,5
Skyline Park,,2.30,,Sky Spin,5
Skyline Park,,6.90,,Sky Wheel,5
PowerPark,,3.00,,Cobra,6
PowerPark,,2.80,,Joyride,6
PowerPark,,9.30,,Junker,6
PowerPark,,1.60,,Neo's Twister,6
PowerPark,,7.20,,Pitt's Special,6
PowerPark,,7.60,,Thunderbird,6
Grona Lund,,5.90,,Insane,6
Grona Lund,,7.50,,Jetline,6
Grona Lund,,5.00,,Kvasten,6
Grona Lund,,9.00,,Monster,6
Grona Lund,,7.70,,Twister,6
Grona Lund,,6.30,,Vilda Musen,6
Wiener Prater,,4.50,,Boomerang,10
Wiener Prater,,1.30,,Dizzy Mouse,10
Wiener Prater,,7.10,,Gesengte Sau,10
Wiener Prater,,3.80,,Hochschaubahn,10
Wiener Prater,,4.50,,Insider,10
Wiener Prater,,2.50,,Maskerade,10
Wiener Prater,,5.80,,Megablitz,10
Wiener Prater,,3.10,,Super 8er Bahn,10
Wiener Prater,,0.20,,Volare,10
Wiener Prater,,0.90,,Wilde Maus,10
Walibi Rhone-Alpes,,1.00,,Coccinelle,5
Walibi Rhone-Alpes,,3.30,,Generator,5
Walibi Rhone-Alpes,,8.80,,Mystic,5
Walibi Rhone-Alpes,,7.80,,Timber,5
Walibi Rhone-Alpes,,1.50,,Woodstock Express,5
Freizeit-Land Geiselwind,,0.60,,Blauer Enzian,5
Freizeit-Land Geiselwind,,0.50,,Cobra,5
Freizeit-Land Geiselwind,,3.00,,Drachen Hohle,5
Freizeit-Land Geiselwind,,1.70,,Fluch des Kraken,5
Freizeit-Land Geiselwind,,1.00,,Piraten Spinner,5
,,,,,
